2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.ID as ID14_0_,
2013-02-20 08:23:43,902 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.ID as ID16_1_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.ID as ID16_2_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.DATA_CRIACAO as DATA2_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.DATA_MODIFICACAO as DATA3_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.CHAVE_ACESSO as CHAVE4_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.CNPJ_EMITENTE as CNPJ5_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.DATA_AUTORIZACAO_NF as DATA6_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.DATA_CANCELAMENTO_NF as DATA7_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.DATA_EMISSAO_NF as DATA8_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.EVENTO_CONCLUSIVO as EVENTO9_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.ID_PARAMETRO_EMPRESA as ID10_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.NUMERO_DOCUMENTO_FISCAL as NUMERO11_14_0_,
2013-02-20 08:23:43,903 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.SERIE_NF as SERIE12_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.ID_STATUS_SEFAZ as ID17_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.ID_STATUS_XML as ID18_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.TIPO_FORMA_EMISSAO as TIPO13_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.TIPO_OPERACAO as TIPO14_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.UF_EMISSAO as UF15_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.VALOR_TOTAL as VALOR16_14_0_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.DATA_CRIACAO as DATA2_16_1_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.DATA_MODIFICACAO as DATA3_16_1_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.CODIGO as CODIGO16_1_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.DESCRICAO as DESCRICAO16_1_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.NOME as NOME16_1_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.DATA_CRIACAO as DATA2_16_2_,
2013-02-20 08:23:43,904 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.DATA_MODIFICACAO as DATA3_16_2_,
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.CODIGO as CODIGO16_2_,
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.DESCRICAO as DESCRICAO16_2_,
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa2_.NOME as NOME16_2_ 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)         from
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             NFE_NF_ENTRADA nfeentrada0_ 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)         inner join
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             NFE_CODIGO_SEFAZ codigosefa1_ 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)                 on nfeentrada0_.ID_STATUS_SEFAZ=codigosefa1_.ID 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)         inner join
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             NFE_CODIGO_SEFAZ codigosefa2_ 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)                 on nfeentrada0_.ID_STATUS_XML=codigosefa2_.ID 
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)         where
2013-02-20 08:23:43,905 INFO  [STDOUT] (http-0.0.0.0-8080-3)             (
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)                 nfeentrada0_.DATA_EMISSAO_NF between ? and ?
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)             ) 
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)             and nfeentrada0_.ID_PARAMETRO_EMPRESA=13 
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)         order by
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.NUMERO_DOCUMENTO_FISCAL desc ) 
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)     where
2013-02-20 08:23:43,906 INFO  [STDOUT] (http-0.0.0.0-8080-3)         rownum <= ?
2013-02-20 08:23:43,909 INFO  [br.com.pwc.nfe.entrada.core.negocio.NfeEntradaBean] (http-0.0.0.0-8080-3) Dados filtrados com sucesso
2013-02-20 08:23:51,013 INFO  [br.com.pwc.nfe.entrada.core.negocio.NfeEntradaBean] (http-0.0.0.0-8080-3) Filtrando dados da entidade NFe Entrada por FiltroNFeEntrada [listaStatusArquivo = [], listaStatusSefaz = [], listaUF = [], listaSerie = [], listaCnpjEmitente = [], listaNumeroDocumento = null, dataEmissao = RangeDataEmissaoVO [dataInicial = 01/02/2010, dataFinal = 20/02/2013], idParametroEmpresaFilial = 13, maxResult = 100]
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3) Hibernate: 
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3)     select
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3)         * 
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3)     from
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3)         ( select
2013-02-20 08:23:51,017 INFO  [STDOUT] (http-0.0.0.0-8080-3)             nfeentrada0_.ID as ID14_0_,
2013-02-20 08:23:51,018 INFO  [STDOUT] (http-0.0.0.0-8080-3)             codigosefa1_.ID as ID16_1_,
